Recency,Frequency,Monetary,customer_id,Cluster
545,1,30.32,131,1
50,6,302.43,132,0
231,7,199.17,133,0
173,3,49.379999999999995,134,0
545,2,84.39,135,1
216,2,81.96,136,0
545,1,27.73,137,1
545,1,14.99,138,1
540,1,11.77,139,1
423,2,44.06,140,1
54,7,147.75,141,0
80,5,122.38999999999999,142,0
545,2,41.48,143,1
545,1,30.72,144,1
31,23,521.96,145,0
545,1,13.97,146,1
199,8,288.07,147,0
101,7,146.44,148,0
522,2,106.53999999999999,149,1
545,1,15.36,150,1
545,1,13.97,151,1
163,6,243.96,152,0
545,1,6.79,153,1
65,5,69.19,154,0
545,1,23.99,155,1
545,1,10.77,156,1
489,2,80.21000000000001,157,1
545,1,43.05,158,1
545,1,19.75,159,1
545,1,19.74,160,1
29,11,416.91,161,0
545,1,119.54,162,1
545,1,25.74,163,1
1,8,245.59,164,0
29,3,34.75,165,0
34,8,173.18,166,0
202,8,186.46,167,0
545,1,14.96,168,1
545,1,11.77,169,1
154,2,74.39,170,0
545,1,14.96,171,1
545,1,50.95,172,1
88,2,49.83,173,0
540,2,36.730000000000004,174,1
545,1,27.77,175,1
545,1,11.77,176,1
48,32,570.08,177,0
545,1,12.49,178,1
126,11,174.03,179,0
306,2,62.59,180,1
545,1,43.7,181,1
43,4,91.72,182,0
545,1,9.99,183,1
43,2,31.869999999999997,184,0
39,5,115.19,185,0
286,2,34.45,186,1
513,2,36.11,187,1
545,1,13.77,188,1
545,1,294.03,189,1
545,1,15.36,190,1
541,1,70.23,191,1
333,6,160.23000000000002,192,0
545,1,27.94,193,1
535,2,255.77999999999997,194,1
161,7,113.78999999999999,195,0
545,1,25.54,196,1
421,3,53.97,197,1
545,1,15.76,198,1
545,1,14.37,199,1
524,2,84.28999999999999,200,1
63,5,73.3,201,0
544,2,146.46,202,1
341,4,63.83,203,1
531,1,72.23,204,1
205,4,102.07,205,0
545,1,17.99,206,1
226,3,94.25999999999999,207,0
129,2,133.63,208,0
472,3,116.17,209,1
96,2,86.03,210,0
545,1,7.78,211,1
545,1,14.37,212,1
527,2,22.54,213,1
252,7,222.21999999999997,214,0
545,1,11.77,215,1
545,1,13.97,216,1
28,4,195.92,217,0
509,1,57.48,218,1
409,2,74.02,219,1
545,1,57.85,220,1
545,1,12.49,221,1
243,3,86.33,222,0
545,1,47.93,223,1
545,1,28.33,224,1
333,5,105.61,225,1
56,6,170.12,226,0
310,5,164.58,227,0
175,13,339.79,228,0
3,5,83.49000000000001,229,0
389,2,79.96,230,1
545,1,69.04,231,1
545,1,42.98,232,1
545,1,12.99,233,1
511,2,23.96,234,1
545,1,7.98,235,1
545,1,16.7,236,1
545,1,23.54,237,1
338,5,305.19,238,0
545,1,28.74,239,1
479,2,30.950000000000003,240,1
52,4,100.55,241,0
529,2,65.43,242,1
544,1,17.96,243,1
20,25,1287.4099999999999,244,2
19,7,148.75,245,0
10,20,750.18,246,0
49,4,94.15,247,0
544,1,14.37,248,1
496,3,92.28,249,1
311,3,104.57,250,1
544,1,40.26,251,1
20,6,348.26,252,0
544,1,13.97,253,1
544,1,15.96,254,1
544,1,11.77,255,1
442,3,79.58,256,1
82,3,55.75,257,0
544,1,59.97,258,1
544,1,14.79,259,1
541,1,57.27,260,1
544,1,8.77,261,1
544,1,48.95,262,1
544,1,14.79,263,1
544,1,16.99,264,1
495,3,135.6,265,1
519,2,99.28,266,1
544,1,37.47,267,1
463,1,7.78,268,1
500,1,29.99,269,1
522,2,269.17,270,1
544,1,12.77,271,1
451,3,38.71,272,1
462,2,21.75,273,1
544,1,5.78,274,1
544,1,60.47,275,1
29,4,118.35000000000001,276,0
113,2,31.89,277,0
544,1,23.97,278,1
320,3,139.81,279,1
428,3,256.45,280,1
544,1,14.7,281,1
544,1,53.88,282,1
544,1,37.71,283,1
544,1,20.0,284,1
544,1,25.99,285,1
533,2,87.27,286,1
544,1,13.97,287,1
424,2,28.93,288,1
507,2,20.54,289,1
544,1,49.98,290,1
544,1,199.15,291,1
174,4,65.88,292,0
102,2,173.78,293,0
221,2,27.36,294,0
95,4,386.58000000000004,295,0
544,1,25.53,296,1
544,1,14.96,297,1
544,1,68.04,298,1
236,2,22.759999999999998,299,0
4,22,538.43,300,0
231,4,173.38,301,0
544,1,27.13,302,1
544,1,10.77,303,1
399,5,113.34,304,1
237,2,152.26999999999998,305,0
544,1,30.99,306,1
488,1,28.45,307,1
544,1,12.77,308,1
471,1,52.5,309,1
539,1,39.32,310,1
544,1,69.25,311,1
191,2,102.72999999999999,312,0
37,20,2432.29,313,2
533,3,231.13,314,1
472,3,88.86,315,1
334,4,72.22999999999999,316,1
144,5,231.15,317,0
169,3,64.49,318,0
539,2,41.69,319,1
544,1,9.99,320,1
544,1,103.05,321,1
360,2,52.33,322,1
8,9,412.75,323,0
276,2,59.01,324,1
544,1,72.82,325,1
544,1,14.37,326,1
544,1,40.7,327,1
0,24,692.62,328,0
123,5,93.97,329,0
544,1,14.96,330,1
544,1,16.36,331,1
544,1,15.36,332,1
544,1,15.9,333,1
544,1,40.11,334,1
540,2,26.73,335,1
544,1,11.77,336,1
61,2,38.03,337,0
544,1,25.74,338,1
221,5,411.84,339,0
544,1,46.3,340,1
338,2,106.6,341,1
544,1,17.9,342,1
240,4,177.43,343,0
36,17,580.12,344,0
242,2,90.25,345,0
544,1,26.76,346,1
544,1,15.36,347,1
339,2,97.52,348,1
544,1,44.88,349,1
544,1,46.37,350,1
544,1,8.77,351,1
510,2,16.759999999999998,352,1
503,2,69.23,353,1
544,1,14.99,354,1
539,2,82.81,355,1
544,1,28.74,356,1
510,2,91.44999999999999,357,1
55,5,118.91999999999999,358,0
544,1,76.45,359,1
36,6,102.75,360,0
128,2,37.730000000000004,361,0
544,4,58.0,362,1
543,2,36.959999999999994,363,1
540,1,29.97,364,1
100,12,297.8,365,0
544,1,15.36,366,1
544,1,44.77,367,1
267,2,135.57999999999998,368,0
544,1,7.98,369,1
190,4,193.89,370,0
200,2,35.47,371,0
434,2,36.730000000000004,372,1
176,9,262.18,373,0
16,7,247.82,374,0
324,4,107.41,375,1
18,3,90.81,376,0
544,1,38.5,377,1
512,2,29.8,378,1
513,4,89.85,379,1
542,1,47.08,380,1
356,3,50.41,381,1
544,1,12.49,382,1
544,1,30.72,383,1
544,1,11.97,384,1
373,2,21.78,385,1
544,1,18.99,386,1
25,13,841.13,387,0
544,1,10.77,388,1
24,10,571.76,389,0
542,1,15.36,390,1
543,1,32.0,391,1
544,1,58.91,392,1
544,1,29.16,393,1
528,2,56.75,394,1
544,1,26.99,395,1
29,7,260.62,396,0
425,2,104.63,397,1
0,44,1569.33,398,2
510,2,62.32,399,1
107,9,151.76,400,0
544,1,41.74,401,1
542,2,24.740000000000002,402,1
544,1,11.77,403,1
71,7,139.18,404,0
544,1,14.99,405,1
55,5,219.21,406,0
540,1,21.74,407,1
544,1,25.99,408,1
544,1,14.37,409,1
225,2,42.97,410,0
179,20,1769.3,411,2
164,2,45.800000000000004,412,0
544,1,25.94,413,1
503,1,43.95,414,1
544,1,31.99,415,1
544,1,47.98,416,1
299,4,214.98,417,0
544,1,24.98,418,1
544,1,108.72,419,1
544,1,16.36,420,1
364,5,206.82999999999998,421,1
412,5,215.32,422,1
544,1,24.99,423,1
20,8,293.94,424,0
544,1,14.99,425,1
544,1,10.99,426,1
544,1,11.97,427,1
544,1,14.99,428,1
16,3,102.4,429,0
48,4,183.54999999999998,430,0
14,6,303.61,431,0
544,1,64.44,432,1
15,7,284.94,433,0
544,1,33.31,434,1
544,1,40.7,435,1
397,5,158.27,436,1
544,1,28.13,437,1
544,1,24.96,438,1
544,1,41.11,439,1
544,1,14.96,440,1
27,10,219.25,441,0
544,1,14.79,442,1
529,2,39.98,443,1
544,1,13.97,444,1
100,8,200.7,445,0
1,6,112.23,446,0
544,1,19.94,447,1
544,1,36.71,448,1
528,2,84.99000000000001,449,1
386,2,59.66,450,1
528,1,24.99,451,1
481,2,24.740000000000002,452,1
406,2,181.16,453,1
232,4,92.28,454,0
222,7,478.53000000000003,456,0
536,3,509.26,457,1
49,6,92.1,458,0
543,1,23.99,459,1
524,2,64.96,460,1
245,2,164.48,461,0
544,1,17.3,462,1
535,2,69.05,463,1
17,5,173.17000000000002,464,0
449,2,85.96,465,1
488,2,73.91,466,1
531,2,27.73,467,1
289,3,78.85,468,1
544,1,11.97,469,1
544,1,15.76,470,1
500,2,167.79000000000002,471,1
514,3,158.03,472,1
544,1,34.97,473,1
135,3,122.06,474,0
544,1,43.13,475,1
544,1,13.97,476,1
544,1,21.99,477,1
544,1,14.37,478,1
544,1,17.9,479,1
544,1,13.99,480,1
544,1,13.97,481,1
543,1,15.76,482,1
529,1,24.99,483,1
30,5,117.49,484,0
62,15,1154.78,485,0
544,1,20.0,486,1
543,1,11.77,487,1
160,2,32.79,488,0
529,2,60.97,489,1
231,2,27.759999999999998,490,0
544,1,15.76,491,1
22,10,203.37,492,0
544,1,28.34,493,1
544,1,13.77,494,1
541,2,72.07,495,1
251,2,39.12,496,1
544,1,11.77,497,1
521,2,120.13000000000001,498,1
9,110,4378.55,499,2
544,1,21.74,500,1
544,1,30.39,501,1
264,2,32.349999999999994,502,1
544,1,15.36,503,1
203,3,196.73,504,0
186,3,56.88,505,0
479,1,25.78,506,1
544,1,13.97,507,1
383,2,26.53,508,1
544,1,15.7,509,1
544,1,11.99,510,1
544,1,28.76,511,1
544,1,11.77,512,1
539,1,12.97,513,1
544,1,11.77,514,1
544,1,19.94,515,1
544,1,14.99,516,1
543,1,9.98,517,1
543,1,14.96,518,1
16,8,222.14,519,0
543,1,24.98,520,1
543,1,27.13,521,1
543,1,23.99,522,1
249,5,116.73,523,0
543,1,11.99,524,1
291,2,40.76,525,1
543,1,52.68,526,1
538,1,14.79,527,1
543,1,71.44,528,1
543,1,8.97,529,1
543,1,11.97,530,1
543,1,58.99,531,1
543,1,15.9,532,1
543,1,29.58,533,1
543,1,11.77,534,1
503,1,13.97,535,1
543,1,26.69,536,1
543,1,14.37,537,1
543,1,9.99,538,1
378,2,33.239999999999995,539,1
543,1,13.97,540,1
543,1,51.3,541,1
543,1,45.67,542,1
543,1,37.98,543,1
481,1,14.96,544,1
248,4,321.34000000000003,545,0
33,5,685.46,546,0
54,11,284.99,547,0
50,8,151.46,548,0
440,2,71.44,549,1
543,1,23.95,550,1
543,1,125.02,551,1
543,1,24.96,552,1
543,1,15.75,553,1
539,1,60.27,554,1
543,1,39.48,555,1
529,2,202.28000000000003,556,1
542,1,29.6,557,1
543,1,49.67,558,1
29,3,243.27,559,0
543,1,44.97,560,1
21,11,361.21,561,0
372,2,23.93,562,1
371,2,52.4,563,1
30,24,657.87,564,0
441,2,118.98,565,1
99,4,156.39,566,0
64,5,291.87,567,0
6,4,79.0,568,0
245,3,101.22999999999999,569,0
151,3,216.17000000000002,570,0
503,2,53.5,571,1
14,7,173.38,572,0
258,3,31.72,573,0
460,2,52.87,574,1
543,1,19.99,575,1
543,1,14.99,576,1
543,1,29.99,577,1
543,1,15.96,578,1
543,1,13.9,579,1
543,1,15.36,580,1
543,1,14.37,581,1
236,3,111.45,582,0
141,6,206.43,583,0
529,1,11.77,584,1
45,12,329.15999999999997,585,0
224,33,2849.64,586,2
291,6,220.46,587,0
543,1,40.3,588,1
193,3,85.16999999999999,589,0
175,2,42.32,590,0
42,3,41.34,591,0
428,3,121.24000000000001,592,1
23,8,203.86,593,0
529,1,31.32,594,1
191,3,90.15,595,0
283,3,91.32,596,1
375,3,39.71,597,1
233,3,81.1,598,0
303,2,40.11,599,1
543,1,15.36,600,1
509,2,19.54,601,1
333,3,374.6,602,0
543,1,24.13,603,1
543,1,68.97,604,1
543,1,53.68,605,1
96,2,39.98,606,0
543,1,81.96,607,1
25,6,214.6,608,0
204,8,488.33,609,0
40,4,123.66,610,0
265,2,25.759999999999998,611,1
543,1,12.49,612,1
379,3,49.97,613,1
88,4,52.59,614,0
519,2,78.91,615,1
26,3,48.14,616,0
543,1,29.92,617,1
375,2,76.21000000000001,618,1
42,36,1025.01,619,2
543,1,13.77,620,1
532,2,32.269999999999996,621,1
543,1,59.97,622,1
543,1,32.72,623,1
251,6,216.87,624,0
249,2,41.25,625,0
42,4,387.87,626,0
543,1,15.76,627,1
543,1,21.99,628,1
60,6,274.63,629,0
543,1,37.47,630,1
76,3,41.32,631,0
508,2,29.33,632,1
340,6,244.23000000000002,633,0
507,1,13.97,634,1
65,8,598.57,635,0
543,1,27.92,636,1
543,1,12.97,637,1
27,2,42.48,638,0
538,2,27.94,639,1
543,1,15.36,640,1
543,1,35.12,641,1
532,1,16.99,642,1
61,10,255.67,643,0
543,1,9.77,644,1
103,4,101.18,645,0
140,3,40.72,646,0
365,2,71.97,647,1
536,2,124.94,648,1
204,2,48.94,649,0
543,1,15.36,650,1
543,1,24.99,651,1
543,1,11.77,652,1
68,4,122.64999999999999,653,0
428,2,75.22,654,1
395,2,63.910000000000004,655,1
80,3,169.89,656,0
543,1,71.49,657,1
543,1,14.96,658,1
27,17,670.0,659,0
543,1,9.97,660,1
543,1,12.77,661,1
110,5,153.71,662,0
8,11,242.07999999999998,663,0
543,1,23.54,664,1
543,1,11.97,665,1
374,2,44.28,666,1
335,4,220.64,667,1
461,2,119.03,668,1
543,1,26.14,669,1
21,4,103.53,670,0
193,2,25.759999999999998,671,0
367,2,37.3,672,1
543,1,14.77,673,1
331,8,170.27,674,0
543,1,24.99,675,1
543,1,22.54,676,1
543,1,58.98,677,1
543,1,15.36,678,1
543,1,46.69,679,1
543,1,15.96,680,1
543,1,29.98,681,1
513,2,84.58,682,1
431,3,187.88,683,1
543,1,13.97,684,1
543,1,8.77,685,1
543,1,32.37,686,1
81,2,47.379999999999995,687,0
543,1,14.37,688,1
372,5,61.25,689,1
543,1,21.75,690,1
2,13,411.62,691,0
543,1,12.49,692,1
391,2,31.32,693,1
543,1,15.99,694,1
524,2,51.93,695,1
543,1,37.11,696,1
543,1,13.97,697,1
60,7,148.41,698,0
197,2,21.47,699,0
542,1,89.54,700,1
543,1,16.7,701,1
147,7,134.19,702,0
542,1,121.34,703,1
161,4,85.35,704,0
161,2,36.42,705,0
543,1,17.36,706,1
543,1,12.49,707,1
543,1,24.98,708,1
543,1,14.9,709,1
5,61,2502.3,710,2
15,17,465.1,711,0
124,2,58.6,712,0
543,1,21.37,714,1
507,2,42.92,715,1
543,1,6.79,716,1
207,3,48.66,717,0
9,5,63.71,718,0
539,1,34.98,719,1
543,1,26.98,720,1
543,1,31.13,721,1
60,4,198.79,722,0
543,1,14.79,723,1
543,1,67.75,724,1
543,1,13.97,725,1
529,3,88.25999999999999,726,1
543,1,9.77,727,1
543,1,21.7,728,1
12,21,651.14,729,0
127,17,855.38,730,0
229,2,71.94,731,0
232,3,115.19,732,0
543,1,125.6,733,1
336,2,36.910000000000004,734,1
15,4,49.95,735,0
543,1,28.74,736,1
38,6,200.32,737,0
512,2,19.96,738,1
479,2,69.84,739,1
543,1,15.36,740,1
542,1,43.13,741,1
519,2,129.15,742,1
534,1,15.7,743,1
210,3,271.20000000000005,744,0
543,1,12.49,745,1
346,4,344.0,746,0
525,2,77.22,747,1
543,1,49.97,748,1
543,1,36.74,749,1
543,1,63.62,750,1
543,1,29.37,751,1
543,1,57.98,752,1
219,3,72.37,753,0
493,2,46.08,754,1
543,1,52.99,755,1
311,3,70.42,756,1
543,1,9.77,757,1
30,33,934.39,758,2
201,2,30.36,759,0
71,3,53.43,760,0
543,1,9.97,761,1
543,1,23.54,762,1
523,2,87.59,763,1
67,4,86.33,764,0
179,3,349.43,765,0
358,10,226.62,766,0
212,10,292.82,767,0
543,1,43.49,768,1
543,1,55.53,769,1
543,1,12.77,770,1
543,1,34.72,771,1
59,10,208.72,772,0
190,10,394.8,773,0
543,1,12.49,774,1
542,1,186.67,775,1
36,12,242.78,776,0
542,1,9.97,777,1
303,5,149.51999999999998,778,0
542,1,15.9,779,1
171,4,142.18,780,0
394,3,58.32,781,1
542,1,10.77,782,1
12,11,598.65,783,0
230,4,267.88,784,0
542,1,11.97,785,1
542,1,60.33,786,1
542,1,179.01,787,1
542,1,14.96,788,1
92,3,99.44,789,0
2,15,270.37,790,0
542,1,28.77,791,1
537,1,50.6,792,1
542,1,33.51,793,1
485,2,30.32,794,1
542,1,13.97,795,1
542,1,12.49,796,1
3,16,775.93,797,0
534,1,23.54,798,1
154,4,213.73000000000002,799,0
128,4,258.96,800,0
511,1,9.77,801,1
542,1,44.14,802,1
542,1,11.77,803,1
103,3,83.78,804,0
3,4,101.52,805,0
107,5,249.64,806,0
542,1,25.14,807,1
21,6,458.13,808,0
521,1,27.74,809,1
542,1,18.36,810,1
223,3,254.85999999999999,811,0
542,1,33.52,812,1
490,2,128.07999999999998,813,1
509,2,121.25,814,1
527,1,9.77,815,1
542,1,35.31,816,1
542,1,99.8,817,1
520,2,28.14,818,1
517,7,279.67,819,1
135,2,37.19,820,0
256,5,93.34,821,0
394,5,123.5,822,1
542,1,11.97,823,1
18,12,600.37,824,0
162,6,876.69,825,0
542,1,34.94,826,1
186,8,297.40999999999997,827,0
462,2,66.75,828,1
542,1,11.75,829,1
158,5,71.04,830,0
542,1,53.98,831,1
542,1,13.77,832,1
542,1,21.37,833,1
542,1,21.98,834,1
542,1,16.56,835,1
230,4,466.46,836,0
270,4,92.86,837,0
542,1,14.99,838,1
542,1,14.99,839,1
200,3,79.21,840,0
533,2,29.950000000000003,841,1
527,2,60.959999999999994,842,1
316,5,145.76,843,0
542,1,11.77,844,1
55,13,298.05,845,0
88,7,452.28,846,0
542,1,37.51,847,1
42,4,134.39,848,0
58,10,143.94,849,0
237,6,553.71,850,0
532,2,44.38,851,1
542,1,12.49,852,1
542,1,42.7,853,1
524,1,44.51,854,1
370,2,112.17,855,1
195,4,212.23,856,0
542,1,24.94,857,1
533,1,26.73,858,1
285,3,92.42,859,1
43,8,158.93,860,0
132,3,81.94,861,0
542,1,49.99,862,1
542,1,43.7,863,1
542,1,11.77,864,1
519,2,107.31,865,1
542,1,34.34,866,1
542,1,53.47,867,1
542,1,44.88,868,1
542,1,49.98,869,1
113,11,325.46,870,0
20,2,24.259999999999998,871,0
542,1,11.77,872,1
199,6,180.94,873,0
58,6,177.78,874,0
542,1,16.99,875,1
449,4,99.36,876,1
542,1,14.99,877,1
542,1,14.3,878,1
542,1,14.37,879,1
537,2,49.95,880,1
73,5,270.85,881,0
350,3,54.64,882,1
535,1,36.99,883,1
542,1,82.89,884,1
542,1,11.77,885,1
542,1,16.7,886,1
115,13,1024.84,887,0
537,1,9.98,888,1
521,2,33.349999999999994,889,1
500,2,47.08,890,1
17,5,156.27,891,0
0,6,153.05,892,0
542,1,109.28,893,1
153,6,116.44,894,0
423,2,37.71,895,1
56,9,180.31,896,0
542,1,36.35,897,1
542,1,14.99,898,1
542,1,145.47,899,1
542,1,28.33,900,1
235,2,41.92,901,0
542,1,20.54,902,1
542,1,22.77,903,1
514,3,45.28,904,1
317,5,64.64,905,1
542,1,38.76,906,1
542,1,15.36,907,1
542,1,27.13,909,1
39,14,283.40999999999997,910,0
542,1,42.67,911,1
475,4,73.06,912,1
542,1,12.77,913,1
542,1,27.94,914,1
189,4,82.17999999999999,915,0
542,1,89.24,916,1
542,1,8.97,917,1
205,3,136.59,918,0
475,1,68.29,919,1
40,9,250.26,920,0
540,1,24.98,921,1
539,1,47.48,922,1
110,6,249.24,923,0
282,2,84.94,924,1
183,3,134.94,926,0
178,4,327.36,927,0
429,3,103.36,928,1
455,3,175.64000000000001,929,1
511,3,74.02,930,1
26,6,91.33,931,0
109,2,25.44,932,0
449,7,392.03999999999996,933,1
380,2,51.02,934,1
542,1,24.98,935,1
542,1,14.99,936,1
536,1,16.36,937,1
108,4,441.01,938,0
542,1,14.9,939,1
542,1,25.13,940,1
120,7,135.27,941,0
147,3,52.3,942,0
478,2,34.98,943,1
542,1,35.99,944,1
214,5,93.63,945,0
152,8,214.99,946,0
506,2,74.23,947,1
341,2,75.72,948,1
542,1,45.69,949,1
535,1,68.47,950,1
101,4,157.56,951,0
542,1,31.98,952,1
542,1,15.36,953,1
542,1,58.66,954,1
468,2,97.62,955,1
542,1,34.69,956,1
542,1,68.65,957,1
542,1,117.1,958,1
540,1,17.9,959,1
542,1,27.77,960,1
541,1,98.38,961,1
26,9,213.93,962,0
542,1,75.81,963,1
542,1,14.37,964,1
39,8,106.5,965,0
542,1,21.75,966,1
498,1,33.35,967,1
134,6,67.15,968,0
542,1,14.96,969,1
528,2,32.98,970,1
339,2,26.740000000000002,971,1
542,1,29.33,972,1
542,1,46.99,973,1
542,1,18.36,974,1
541,1,95.73,975,1
542,1,13.97,976,1
542,1,28.99,977,1
437,2,25.39,978,1
96,6,399.59,979,0
19,8,493.23,980,0
101,2,308.38,981,0
541,1,48.5,982,1
541,1,137.11,983,1
541,1,44.69,984,1
199,3,176.18,985,0
541,1,77.25,986,1
491,2,41.9,987,1
292,5,246.70000000000002,988,0
541,1,14.96,989,1
538,2,51.309999999999995,990,1
33,3,121.82000000000001,991,0
196,6,284.89,992,0
204,3,54.239999999999995,993,0
211,2,42.43,994,0
472,2,35.31,995,1
541,1,79.55,996,1
262,8,256.25,997,0
74,5,279.87,998,0
61,4,102.15,999,0
526,1,8.99,1000,1
408,3,73.03,1001,1
54,3,44.22,1002,0
541,1,44.75,1003,1
149,3,257.88,1004,0
541,1,31.32,1005,1
541,1,14.37,1006,1
517,2,46.95,1007,1
409,3,86.38,1008,1
496,2,40.6,1009,1
541,1,21.74,1010,1
540,1,54.67,1011,1
423,4,74.62,1012,1
541,1,38.99,1013,1
541,1,96.36,1014,1
541,1,19.7,1015,1
263,2,24.759999999999998,1016,1
541,1,9.97,1017,1
53,8,224.9,1018,0
531,2,51.75,1019,1
541,1,29.73,1020,1
345,2,73.44,1021,1
541,1,14.7,1022,1
541,1,24.98,1023,1
541,1,62.25,1024,1
14,5,113.32,1025,0
374,3,154.17999999999998,1026,1
371,2,28.14,1027,1
541,1,14.48,1028,1
450,3,243.61,1029,1
415,5,204.93,1030,1
541,1,31.32,1031,1
60,9,357.96000000000004,1032,0
541,1,55.88,1033,1
541,1,33.96,1034,1
489,2,108.93,1035,1
541,1,12.77,1036,1
28,3,215.17,1037,0
541,1,283.97,1038,1
263,4,74.34,1039,0
541,1,15.99,1040,1
136,2,93.91000000000001,1041,0
497,1,42.7,1042,1
541,1,75.82,1043,1
541,1,11.77,1044,1
30,5,149.13,1045,0
434,4,178.26999999999998,1046,1
539,1,32.31,1047,1
489,2,71.62,1048,1
541,1,14.37,1049,1
541,1,21.76,1050,1
541,1,13.97,1051,1
541,1,11.77,1052,1
121,3,108.0,1053,0
541,1,25.74,1054,1
541,1,33.4,1055,1
447,3,108.14,1056,1
496,3,93.17999999999999,1057,1
541,1,31.52,1058,1
541,1,155.37,1059,1
541,1,29.92,1060,1
541,1,11.77,1061,1
541,1,14.96,1062,1
397,2,52.48,1063,1
541,1,45.31,1064,1
479,2,63.540000000000006,1065,1
198,3,132.03,1066,0
541,1,71.45,1067,1
83,8,151.9,1068,0
420,3,65.06,1069,1
541,1,14.37,1070,1
19,4,226.70999999999998,1071,0
541,1,14.37,1072,1
541,1,26.99,1073,1
541,1,68.84,1074,1
7,4,63.83,1075,0
317,3,176.4,1076,1
9,49,3324.49,1077,2
34,3,45.839999999999996,1078,0
541,1,66.0,1079,1
541,1,14.99,1080,1
541,1,29.98,1081,1
89,2,79.73,1082,0
3,11,322.23,1083,0
36,4,185.10000000000002,1084,0
65,13,295.03,1085,0
205,4,83.29,1086,0
40,6,183.82,1087,0
541,1,47.07,1088,1
279,4,110.47,1089,0
541,1,17.56,1090,1
461,2,103.61,1091,1
5,10,290.18,1092,0
541,1,24.99,1093,1
17,10,183.23000000000002,1094,0
531,2,21.75,1095,1
541,1,13.97,1096,1
541,1,155.24,1097,1
541,1,11.77,1098,1
13,12,301.3,1099,0
365,4,71.09,1100,1
540,1,51.88,1102,1
541,1,41.1,1103,1
71,2,62.69,1104,0
541,2,40.67,1105,1
541,1,14.37,1106,1
373,3,56.46,1107,1
116,18,190.81,1108,0
541,1,13.97,1109,1
541,1,75.45,1110,1
125,4,93.0,1111,0
541,1,11.77,1112,1
541,1,33.99,1113,1
184,2,48.97,1114,0
540,1,19.99,1115,1
541,1,14.37,1116,1
519,1,14.96,1117,1
541,1,9.77,1118,1
423,2,23.54,1119,1
127,4,56.71,1120,0
162,4,138.45999999999998,1121,0
321,2,81.77,1122,1
